node_1,node_2,edge,source
City Centrality,Patent Output,"City Centrality positively affects Patent Output, and this positive effect is enhanced when the Country's Centrality and Structural Holes are high.",The impact of multilevel networks on innovation
City Structural Holes,Patent Output,"City Structural Holes positively affect Patent Output, and this positive effect is enhanced when the Country's Centrality and Structural Holes are high.",The impact of multilevel networks on innovation
City Clustering Coefficient,Patent Output,"City Clustering Coefficient negatively affects Patent Output, and this negative effect is weakened when the Country's Centrality and Structural Holes are high.",The impact of multilevel networks on innovation
Country Centrality,City Centrality,"Country Centrality moderates the positive relationship between City Centrality and Patent Output, enhancing the positive effect.",The impact of multilevel networks on innovation
Country Structural Holes,City Structural Holes,"Country Structural Holes moderate the positive relationship between City Structural Holes and Patent Output, enhancing the positive effect.",The impact of multilevel networks on innovation
Country Clustering Coefficient,City Clustering Coefficient,"Country Clustering Coefficient moderates the negative relationship between City Clustering Coefficient and Patent Output, weakening the negative effect.",The impact of multilevel networks on innovation
AI in Climate Patents,Subsequent Inventions,AI in climate patents is associated with around 30–100% more subsequent inventions when counting all technologies.,Tracking artificial intelligence in climate inventions with patent data
AI in Climate Patents,Citations,AI-climate patents led to a greater share of citations from outside the climate field than non-AI-climate patents.,Tracking artificial intelligence in climate inventions with patent data
AI in Climate Patents,Highly Cited Patents,AI patents are related to more subsequent inventions on average but seemingly fewer highly cited breakthroughs.,Tracking artificial intelligence in climate inventions with patent data
AI in Climate Patents,Technological Domains,"Within climate patents, AI is referred to most often in transportation, energy, and industrial production technologies.",Tracking artificial intelligence in climate inventions with patent data
AI in Climate Patents,Knowledge Spillovers,"AI in climate patents is associated with a smaller share of spillovers to climate patents than non-AI technologies, indicating that knowledge from AI climate patents was more useful in other areas.",Tracking artificial intelligence in climate inventions with patent data
Inventor Knowledge Concentration,Zero-Reference Patents,"Inventors with a higher level of technological concentration are more likely to develop zero-reference patents, suggesting that focused expertise is important for creating pioneering technologies.",The Emergence of New Knowledge: The Case of Zero-Reference Patents
Inventor's Success with Prior Patents,Zero-Reference Patents,"Inventors with more successful prior patents are less likely to develop zero-reference patents, indicating that prior inventive success can hinder the creation of pioneering technologies.",The Emergence of New Knowledge: The Case of Zero-Reference Patents
