name,define,source
City Centrality,A measure of the city's position in the network that captures its ability to act as an intermediary and control the flow of information and resources.,The impact of multilevel networks on innovation
City Structural Holes,"The lack of connections between a city's partners, indicating the city's potential to act as a broker or intermediary in the network.",The impact of multilevel networks on innovation
City Clustering Coefficient,"A measure of the degree of interconnectivity in the neighborhood of a node, indicating the tendency of nodes to form cliques.",The impact of multilevel networks on innovation
Country Centrality,"A measure of the country's position in the network, reflecting its overall connectivity and influence.",The impact of multilevel networks on innovation
Country Structural Holes,"The lack of connections between a country's partners, indicating the country's potential to act as a broker or intermediary in the network.",The impact of multilevel networks on innovation
Country Clustering Coefficient,"A measure of the degree of interconnectivity among countries, indicating the tendency of countries to form cliques.",The impact of multilevel networks on innovation
Patent Output,"The number of alternative energy patents granted, serving as a measure of innovation output.",The impact of multilevel networks on innovation
AI in Climate Patents,The presence of artificial intelligence (AI) in patents related to climate inventions.,Tracking artificial intelligence in climate inventions with patent data
Subsequent Inventions,The number of inventions that follow or are influenced by the original patent.,Tracking artificial intelligence in climate inventions with patent data
Citations,The number of times a patent is referenced by subsequent patents.,Tracking artificial intelligence in climate inventions with patent data
Highly Cited Patents,"Patents that are cited more frequently than others, indicating significant impact or breakthrough technology.",Tracking artificial intelligence in climate inventions with patent data
Technological Domains,"Areas of technology such as transportation, energy, and industrial production.",Tracking artificial intelligence in climate inventions with patent data
Inventor Knowledge Concentration,"A measure of the concentration of an inventor's patent classifications, indicating their focus within a specific area of technology.",The Emergence of New Knowledge: The Case of Zero-Reference Patents
Inventor's Success with Prior Patents,"A measure of the success of an inventor's prior patents, operationalized by counting the number of citations their patents received.",The Emergence of New Knowledge: The Case of Zero-Reference Patents
Zero-Reference Patents,"Patents that do not have any backward references to prior patents or scientific knowledge, representing new knowledge that does not build from prior explicit knowledge.",The Emergence of New Knowledge: The Case of Zero-Reference Patents
Breakthrough Patents,"Patents that are in the top 5% of forward patenting in their technological class in the application year, representing patents with high performance and potential to create new technological paths.",The Emergence of New Knowledge: The Case of Zero-Reference Patents
Knowledge Network Centrality,"A measure of an inventor's centrality within the knowledge network, indicating their position and connections with other knowledge elements.",How multiple networks help in creating knowledge: evidence from alternative energy patents
Collaboration Network Centrality,"A measure of an inventor's centrality within the collaboration network, indicating their connections and potential for information spillover.",How multiple networks help in creating knowledge: evidence from alternative energy patents
Structural Holes in Collaboration Network,"A measure of the lack of direct connections between an inventor's collaborators, indicating potential for unique information and resources.",How multiple networks help in creating knowledge: evidence from alternative energy patents
Knowledge Creation,"Measured by citations-weighted patents, indicating an inventor's contribution to a field of knowledge and their innovative performance.",How multiple networks help in creating knowledge: evidence from alternative energy patents
Marketing Strategy,A guiding philosophy for the firm that recognizes marketing as not only a set of functions but also a core perspective for business strategy.,Marketing Strategy: New Directions for Theory and Research
Consumer Needs,"The basis for developing marketing strategy, which should be combined with other strategic inputs to arrive at an integrated business strategy.",Marketing Strategy: New Directions for Theory and Research
Competitive Advantage,"The potential for gaining an edge over competitors, which marketing should assess and guide the corporate mission towards.",Marketing Strategy: New Directions for Theory and Research
Marketing Program or Mix,"The design of marketing activities that should be focused on the brand level, but also considered at the product category, strategic business unit (SBU), or corporate level.",Marketing Strategy: New Directions for Theory and Research
Business Strategy,"An integrated approach that should have a marketing perspective, meaning marketing provides inputs to strategy generation.",Marketing Strategy: New Directions for Theory and Research
Environmental Forces,"External factors such as market growth, market development, and product differentiation that influence marketing strategy.",Marketing Strategy: New Directions for Theory and Research
Synergy,"The interdependent effect among the various marketing mix components and the portfolio of products and segments, which should be considered in marketing strategy.",Marketing Strategy: New Directions for Theory and Research
International Orientation,"The consideration of multinational dimensions in marketing thought and research, which is essential for most international firms.",Marketing Strategy: New Directions for Theory and Research
Competitive Analysis,"The systematic evaluation of competitors' objectives, strengths, weaknesses, and strategic thrusts, which is crucial for developing marketing strategy.",Marketing Strategy: New Directions for Theory and Research
Integrated Strategic Framework,"A comprehensive approach to the generation and evaluation of marketing strategy alternatives, overcoming limitations in the current marketing literature.",Marketing Strategy: New Directions for Theory and Research
Technological Knowledge Domains,Specific areas of technology identified through patent analysis.,Knowledge combination modeling: The measurement of knowledge similarity between different technological domains
Knowledge Similarity,The degree of resemblance between different technological knowledge domains.,Knowledge combination modeling: The measurement of knowledge similarity between different technological domains
DB-Combination Model,A model that considers knowledge combinations in depth (D) and breadth (B) based on similarities of two technological knowledge domains.,Knowledge combination modeling: The measurement of knowledge similarity between different technological domains
"Methodologies (A1, A2, A3)",Different approaches used to identify technological sub-domains and measure their similarities.,Knowledge combination modeling: The measurement of knowledge similarity between different technological domains
Patent Information,Used as a source for identifying technological knowledge domains and for measuring knowledge similarity.,Knowledge combination modeling: The measurement of knowledge similarity between different technological domains
AI Patents,Patents classified as AI according to the WIPO method.,Tracking artificial intelligence in climate inventions with patent data
WIPO AI Share,The proportion of AI patents within a specific technology domain.,Tracking artificial intelligence in climate inventions with patent data
CPC Y02 Subclasses,"Patents classified under the Cooperative Patent Classification (CPC) Y02 subclasses, which relate to climate change mitigation and adaptation technologies.",Tracking artificial intelligence in climate inventions with patent data
Patent Citations,"The number of citations a patent receives, used as an indicator of patent impact or importance.",Tracking artificial intelligence in climate inventions with patent data
Patent Assignees,"Entities to which a patent is assigned, categorized as commercial, individual, or non-profit.",Tracking artificial intelligence in climate inventions with patent data
Government Support,Indication of whether patents acknowledge direct research and development support or are owned by the government.,Tracking artificial intelligence in climate inventions with patent data
Temporal Exploration,The creation of new knowledge through recombination of older knowledge obtained by examining a wider time spread.,Old Is Gold? The Value of Temporal Exploration in the Creation of New Knowledge
Temporal Exploitation,The creation of new knowledge through a recombinant process that emphasizes recency.,Old Is Gold? The Value of Temporal Exploration in the Creation of New Knowledge
Recency,"The extent to which history does not matter in knowledge creation, focusing on recently created knowledge.",Old Is Gold? The Value of Temporal Exploration in the Creation of New Knowledge
Time Spread,"The extent to which history matters in the process of knowledge creation, measured as the interquartile range of knowledge used in a patent.",Old Is Gold? The Value of Temporal Exploration in the Creation of New Knowledge
Impact,"The influence of new knowledge creation on future knowledge creation efforts, measured by the number of citations a patent receives.",Old Is Gold? The Value of Temporal Exploration in the Creation of New Knowledge
Clustering Coefficient (CC),"A measure of the local graph structure, indicating the probability of co-operation if two authors have worked together with a third author.",The impact of university–industry collaboration networks on innovation in nanobiopharmaceuticals
Reach,"The size of a network and its average path length, which influences information diffusion and novel recombination.",The impact of university–industry collaboration networks on innovation in nanobiopharmaceuticals
Weighted Patent Value (WPV),"A measure of the invention's innovation performance, calculated by weighting patent family size.",The impact of university–industry collaboration networks on innovation in nanobiopharmaceuticals
Small World Quotient (Q),"A measure of the small world nature of a network, calculated as the ratio of the clustering coefficient to the path length.",The impact of university–industry collaboration networks on innovation in nanobiopharmaceuticals
Largest Component Size (LC),"The size of the largest connected component in a network, indicating the collection of actors that are linked to each other by at least one path of intermediaries.",The impact of university–industry collaboration networks on innovation in nanobiopharmaceuticals
Artificial Intelligence (AI),"A software technology with capabilities such as perception, decision-making, prediction, automatic knowledge extraction, interactive communication, and logical reasoning.",The role of artificial intelligence in achieving the Sustainable Development Goals
Sustainable Development Goals (SDGs),The 17 goals and 169 targets internationally agreed in the 2030 Agenda for Sustainable Development.,The role of artificial intelligence in achieving the Sustainable Development Goals
Technology Innovation,"The process of creating new products, services, or methods through the application of scientific knowledge.",Empirical analysis of the relationship between technology innovation and basic research
