source,unmatched_node
EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL,Minew
EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL,CIf
EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL,CIf
EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL,CIf
EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL,CIb
EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL,CIb
EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL,CIb
Computers & Industrial Engineering 171 (2022) 108403,Key Research Areas
Computers & Industrial Engineering 171 (2022) 108403,Key Research Areas
Computers & Industrial Engineering 171 (2022) 108403,Key Research Areas
Computers & Industrial Engineering 171 (2022) 108403,Key Research Areas
Computers & Industrial Engineering 171 (2022) 108403,Core Patents
Computers & Industrial Engineering 171 (2022) 108403,Core Patents
An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry,Authorized Use of Patents
Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry,Competitive Barriers
Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry,Competitive Barriers
Evaluation and cultivation method of high-tech value patents for mechanical products,Proposed Evaluation Method
Managing firm patents: A bibliometric investigation into the state of the art,Patent Strategy
